id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,weight_class,age,win_ratio,experience
231926533134ec1f,Justin Buchholz,Unknown,15,10,0,182.88,70.31,185.42,Orthodox,1983-08-22,2.35,26,4.14,51,0.0,0,33,0.8,Welterweight,42.0,0.6,25
f782f953bfe7b5f2,Jonathan Micallef,The Captain,8,1,0,182.88,77.11,195.58,Southpaw,1999-03-05,4.77,43,4.0,58,0.83,50,50,0.8,Middleweight,26.0,0.8888888888888888,9
2e04a3b4a2011b97,Roland Payne,Unknown,0,1,0,175.26,92.99,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0,Light Heavyweight,,0.0,1
29f935654825331b,Chris Sanford,Unknown,5,1,0,180.34,83.91,,Orthodox,1968-03-12,0.23,50,3.22,17,0.0,0,0,3.5,Light Heavyweight,57.0,0.8333333333333334,6
15df64c02b6b0fde,Danny Abbadi,The Assassin,4,6,0,180.34,70.31,,Orthodox,1983-07-03,3.29,38,4.41,57,0.0,0,77,0.0,Welterweight,42.0,0.4,10
10f3ba6cd2f44a97,Dominick Cruz,The Dominator,24,4,0,172.72,61.23,172.72,Orthodox,1985-03-09,3.91,33,2.61,70,2.82,42,83,0.1,Featherweight,40.0,0.8571428571428571,28
15ea371202eb25e1,Roberto Romero,El Charro Negro,8,5,1,172.72,65.77,177.8,Orthodox,2000-01-30,4.56,49,6.44,44,0.0,0,71,0.0,Featherweight,25.0,0.6153846153846154,14
f57a8a52ca401ed9,Nick Diaz,Unknown,26,10,0,185.42,77.11,193.04,Southpaw,1983-08-02,5.71,42,3.84,59,1.28,32,60,1.0,Middleweight,42.0,0.7222222222222222,36
bf0e700106d00e55,Austin Arnett,Unknown,16,6,0,182.88,65.77,182.88,Orthodox,1991-10-22,4.52,41,6.38,62,0.44,18,57,0.2,Featherweight,34.0,0.7272727272727273,22
d4691518d012b9e7,Aspen Ladd,Unknown,9,3,0,167.64,61.23,167.64,Orthodox,1995-03-01,3.78,47,4.65,47,1.56,47,62,0.6,Featherweight,30.0,0.75,12
ddf3e0ea10ea6d8c,Jorge de Oliveira,Blade,9,2,0,172.72,70.31,,Orthodox,1980-01-22,1.26,31,4.84,48,0.0,0,22,0.0,Welterweight,45.0,0.8181818181818182,11
36b8f265bcd1b7a4,Abus Magomedov,Unknown,28,6,1,187.96,83.91,198.12,Orthodox,1990-09-02,3.21,48,3.68,56,2.65,57,100,0.2,Light Heavyweight,35.0,0.8235294117647058,35
d35c3ed553b71fa2,Joe Vedepo,The Doctor,18,9,0,182.88,83.91,,Orthodox,,1.43,42,5.71,38,1.07,20,0,0.0,Light Heavyweight,,0.6666666666666666,27
04835018f90b118c,Casey O'Neill,King,10,2,0,167.64,56.7,175.26,Orthodox,1997-10-07,7.89,52,5.65,57,1.45,34,70,0.7,Flyweight,28.0,0.8333333333333334,12
4148802ae4a50768,Daniel Zellhuber,Golden Boy,15,3,0,185.42,70.31,195.58,Switch,1999-07-07,5.83,39,5.91,56,0.15,25,94,0.1,Welterweight,26.0,0.8333333333333334,18
6eaec40f724852f4,Jessin Ayari,Unknown,16,6,0,182.88,70.31,185.42,Orthodox,1992-05-31,3.53,37,3.59,58,0.0,0,50,0.3,Welterweight,33.0,0.7272727272727273,22
da97d6c97d09c030,Charles McCarthy,Chainsaw,10,5,0,177.8,83.91,180.34,Orthodox,1980-08-06,0.18,12,4.03,56,2.67,60,0,2.7,Light Heavyweight,45.0,0.6666666666666666,15
cffb87059e645bd1,Denise Gomes,Dee,11,3,0,157.48,52.16,160.02,Orthodox,1999-12-30,4.59,50,3.04,51,1.19,36,67,0.8,Flyweight,26.0,0.7857142857142857,14
9abc648e76c4493a,Bill Algeo,Senor Perfecto,18,9,0,182.88,65.77,185.42,Switch,1989-06-09,5.88,51,4.38,47,1.03,50,55,0.1,Featherweight,36.0,0.6666666666666666,27
edd02825c29028fe,Marco Polo Reyes,Unknown,8,7,0,180.34,70.31,180.34,Orthodox,1984-11-07,6.0,37,5.52,59,0.0,0,46,0.0,Welterweight,41.0,0.5333333333333333,15
64ad3e3b0efa30bb,Ivan Erslan,Unknown,14,5,0,187.96,92.99,182.88,Orthodox,1991-11-15,2.5,44,5.17,55,0.5,20,64,0.0,Light Heavyweight,34.0,0.7368421052631579,19
5823ceab56741617,Jonathan Meunier,District,8,1,0,190.5,77.11,,Switch,1987-08-04,3.47,50,1.43,69,0.58,33,58,0.0,Middleweight,38.0,0.8888888888888888,9
32c3ee378671a5d9,Austin Vanderford,Unknown,13,2,0,180.34,77.11,187.96,Orthodox,1990-03-21,4.08,63,2.66,51,1.77,25,100,1.8,Middleweight,35.0,0.8666666666666667,15
7be74a12d7352df2,Sara McMann,Unknown,13,6,0,167.64,61.23,167.64,Orthodox,1980-09-24,2.26,46,1.92,47,4.38,65,50,0.5,Featherweight,45.0,0.6842105263157895,19
2eeaefbfc7f9fcff,Lina Lansberg,Elbow Queen,10,8,0,170.18,61.23,165.1,Orthodox,1982-03-13,2.69,55,3.87,44,0.52,27,47,0.1,Featherweight,43.0,0.5555555555555556,18
7ab478c397cd68ef,Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,1990-08-24,6.01,64,4.38,61,5.64,60,100,3.8,Light Heavyweight,35.0,1.0,14
93ce4ac89e3d7652,Luke Cummo,Unknown,6,6,0,182.88,77.11,187.96,Orthodox,1980-04-27,1.74,43,1.5,59,0.89,55,42,1.4,Middleweight,45.0,0.5,12
4834ff149dc9542a,Norifumi Yamamoto,Kid,18,6,0,162.56,61.23,167.64,Southpaw,1977-03-15,2.09,45,2.01,57,0.41,22,45,0.0,Featherweight,48.0,0.75,24
5a558ba1ff5e9121,Darrill Schoonover,The Boss,14,8,0,187.96,99.79,,Orthodox,1985-07-18,1.2,33,4.35,38,0.0,0,50,1.1,Heavyweight,40.0,0.6363636363636364,22
8349d55cdecd393a,Antonio Silva,Bigfoot,19,12,1,193.04,119.75,208.28,Orthodox,1979-09-14,2.89,45,3.09,50,0.82,29,66,0.8,Heavyweight,46.0,0.6129032258064516,32
4a28cb716c19157a,Stephen Thompson,Wonderboy,17,9,1,182.88,77.11,190.5,Orthodox,1983-02-11,4.05,46,3.0,54,0.23,35,63,0.0,Middleweight,42.0,0.6538461538461539,27
7ca4c3f8aa8bacae,Paulo Santos,Unknown,0,3,0,,,,Unknown,,0.0,0,0.0,0,0.0,0,0,0.0,Super Heavyweight,,0.0,3
beecb672a279223e,Amanda Ribas,Unknown,13,7,0,162.56,52.16,167.64,Orthodox,1993-08-26,4.26,39,3.29,60,2.05,52,82,0.6,Flyweight,32.0,0.65,20
411d012af19ecb59,Chris Spang,The Kiss,6,3,0,187.96,77.11,,Orthodox,1987-11-26,1.83,36,1.95,60,0.0,0,50,0.9,Middleweight,38.0,0.6666666666666666,9
8be158ca1e5ea6a0,Dwight Grant,The Body Snatcher,11,6,0,185.42,83.91,193.04,Switch,1984-09-14,3.29,36,2.66,60,0.61,100,66,0.0,Light Heavyweight,41.0,0.6470588235294118,17
d2a9be6bf2de624c,Robert Drysdale,Unknown,7,0,0,190.5,92.99,,Orthodox,1981-10-05,0.0,0,0.0,0,7.32,100,0,21.9,Light Heavyweight,44.0,1.0,7
22a92d7f62195791,Tony Ferguson,El Cucuy,26,11,0,180.34,77.11,193.04,Orthodox,1984-02-12,4.91,45,4.37,55,0.39,35,66,0.9,Middleweight,41.0,0.7027027027027027,37
33011768c3c4dc9a,Terry Etim,Unknown,16,5,0,185.42,70.31,185.42,Orthodox,1986-01-11,2.16,35,2.53,67,0.43,30,39,1.4,Welterweight,39.0,0.7619047619047619,21
9fa3bd637edd9aa2,Patrick Cote,The Predator,23,11,0,180.34,77.11,190.5,Orthodox,1980-02-29,2.81,48,3.21,48,0.68,20,43,0.2,Middleweight,45.0,0.6764705882352942,34
d6ead04919a894b1,Duda Santana,Cowboyzinha,3,1,0,170.18,65.77,185.42,Orthodox,1996-01-10,6.01,39,2.72,73,6.44,60,0,0.0,Featherweight,29.0,0.75,4
bf43fed8f29e1671,Marcin Held,Unknown,23,7,0,175.26,70.31,180.34,Orthodox,1992-01-18,1.41,34,2.02,47,2.46,46,37,1.3,Welterweight,33.0,0.7666666666666667,30
