event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,82338ba457fbe87f,Tim Elliott,c96d9178c9ed9e62,Kai Asakura,d33da8a3d82bdb62,Flyweight,0,Submission,2,279,3,Robert Madrigal
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,1d8dc0fb5d47357f,Chase Hooper,971246648e162f0d,Alexander Hernandez,262a7d06203657e6,Lightweight,0,KO/TKO,1,298,3,Jason Herzog
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,5b880d10b0ed7acc,Gerald Meerschaert,6ac9bc2953c47345,Michal Oleksiejczuk,0d65c432720accb9,Middleweight,0,KO/TKO,1,183,3,Herb Dean
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,42585ce706c086de,Geoff Neal,b997be68943010fc,Carlos Prates,7ee0fd831c0fe7c3,Welterweight,0,KO/TKO,1,299,3,Jason Herzog
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,12cedec11b37ddc0,Dricus Du Plessis,0d7b51c9d2649a6e,Khamzat Chimaev,767755fd74662dbf,Middleweight,1,Decision - Unanimous,5,300,5,Marc Goddard
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,bc63f1b2e52f603e,Edson Barboza,64a50dad704d1d49,Drakkar Klose,7cbf7c78d3b34218,Lightweight,0,Decision - Unanimous,3,300,3,Marc Goddard
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,a2eafd9e1d5031b1,Jessica Andrade,6a1901c62ab3870f,Loopy Godinez,8e5d953bdb9ae5e7,Flyweight,0,Decision - Unanimous,3,300,3,Nick Cimmarusti
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,9939d7073462e07e,Jared Cannonier,13a0275fa13c4d26,Michael Page,a67d071163962af8,Middleweight,0,Decision - Unanimous,3,300,3,Marc Goddard
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,9fa6a029f7f8241c,Lerone Murphy,396fe87b84ac2e1c,Aaron Pico,5537efc6e496dd84,Featherweight,0,KO/TKO,1,201,3,Herb Dean
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,5efd13a12be06706,Baisangur Susurkaev,d1feea7a4bdcd503,Eric Nolan,64b12fe31be7560c,Middleweight,0,Submission,2,121,3,Jason Herzog
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,88020d22cf905792,Karine Silva,9d62c2d8ee151f08,Dione Barbosa,27b388f0aab49780,Flyweight,0,Decision - Unanimous,3,300,3,Robert Madrigal
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,68c423c7119004f3,Alibi Idiris,30cad5a751adcb48,Joseph Morales,2fe9032955c2e013,Flyweight,0,Submission,2,184,3,Nick Cimmarusti
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,6b8be0ee3e569ad2,Robert Whittaker,e1147d3d2dabe1ce,Reinier de Ridder,d549cefc7c54ab78,Middleweight,0,Decision - Split,5,300,5,Marc Goddard
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,d4d4ee045b0ca695,Petr Yan,d661ce4da776fc20,Marcus McGhee,c0ac37a4a1133da9,Bantamweight,0,Decision - Unanimous,3,300,3,Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,887c61da1a78a5e1,Asu Almabayev,8d3273573b85be09,Jose Ochoa,88be62d6c1e6dadb,Flyweight,0,Decision - Unanimous,3,300,3,Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,7c075e3383198e14,Muslim Salikhov,447f9858ae78f921,Carlos Leal,28d421729451c8ca,Welterweight,0,KO/TKO,1,42,3,Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,77f960d82cda0b76,Nikita Krylov,1091d4d957141094,Bogdan Guskov,ef5dcb10d2bd4b0f,Light Heavyweight,0,KO/TKO,1,258,3,Marc Goddard
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,582d66ce97309e29,Shara Magomedov,06734ca9d88dec3a,Marc-Andre Barriault,8e9eb3fc86db0f7d,Middleweight,0,Decision - Unanimous,3,300,3,Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,e72c691b7c68b03a,Bryce Mitchell,d9c6f19f958643e9,Said Nurmagomedov,0fd5f4b838e890cc,Bantamweight,0,Decision - Unanimous,3,300,3,Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,3e6067763978d862,Amanda Ribas,beecb672a279223e,Tabatha Ricci,d25240135aee03e5,Flyweight,0,KO/TKO,2,179,3,Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,23ddf51ce630028d,Mohammad Yahya,3753714927f18437,Steven Nguyen,69037fc7730e4225,Featherweight,0,KO/TKO,2,300,3,Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,017a825c7820d12e,Davey Grant,113df4fde64735c6,Da'Mon Blackshear,da22387a0407a2dc,Bantamweight,0,Decision - Unanimous,3,300,3,Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,f9dac7702609669f,Ibo Aslan,6e8f1bcdda94ff45,Billy Elekana,07a74004d964c7f4,Light Heavyweight,0,Decision - Unanimous,3,300,3,Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,28d8638ea0a71908,0a598768f5c8d540,Martin Buday,8eb046f83e82bf26,Marcus Buchecha,095854a135e6db55,Heavyweight,0,Decision - Unanimous,3,300,3,Jim Perdios
UFC Fight Night: Lewis vs. Teixeira,7b03d9df5910917d,f368475c366c6d85,Calvin Kattar,751de04455cfaac0,Steve Garcia,97cf1a2c7c5e7889,Featherweight,0,Decision - Unanimous,3,300,3,Jason Herzog
UFC Fight Night: Lewis vs. Teixeira,7b03d9df5910917d,0adfc21045c02555,Derrick Lewis,d3df1add9d9a7efb,Tallison Teixeira,17923f676f100e16,Heavyweight,0,KO/TKO,1,35,5,Jason Herzog
UFC Fight Night: Lewis vs. Teixeira,7b03d9df5910917d,4e5d4a36eaaa3a78,Nate Landwehr,583ee11abddfc581,Morgan Charriere,5b03b61f9d90125e,Featherweight,0,KO/TKO,3,27,3,Blake Grice
UFC Fight Night: Lewis vs. Teixeira,7b03d9df5910917d,2a03bc4c491b4c9a,Stephen Thompson,4a28cb716c19157a,Gabriel Bonfim,01641ba5df0c69b0,Welterweight,0,Decision - Split,3,300,3,Blake Grice
UFC Fight Night: Lewis vs. Teixeira,7b03d9df5910917d,b19bf99c7eb796bc,Junior Tafa,c15fa95b9a12fde4,Tuco Tokkos,3e8118c1ab52f211,Light Heavyweight,0,Submission,2,265,3,Eric McMahon
UFC Fight Night: Lewis vs. Teixeira,7b03d9df5910917d,d5e3be7a07c48b08,Jake Matthews,a845f0735bc67405,Chidi Njokuani,c68c68efaa5ca6ef,Welterweight,0,Submission,1,69,3,Jimmy Neely
